interval_start,price
2026-06-18T00:00:00+08:00,420.00
2026-06-18T00:15:00+08:00,421.00
2026-06-18T00:30:00+08:00,422.00
2026-06-18T00:45:00+08:00,423.00
2026-06-18T01:00:00+08:00,424.00
2026-06-18T01:15:00+08:00,425.00
2026-06-18T01:30:00+08:00,426.00
2026-06-18T01:45:00+08:00,427.00
2026-06-18T02:00:00+08:00,428.00
2026-06-18T02:15:00+08:00,429.00
2026-06-18T02:30:00+08:00,430.00
2026-06-18T02:45:00+08:00,431.00
2026-06-18T03:00:00+08:00,432.00
2026-06-18T03:15:00+08:00,433.00
2026-06-18T03:30:00+08:00,434.00
2026-06-18T03:45:00+08:00,435.00
2026-06-18T04:00:00+08:00,436.00
2026-06-18T04:15:00+08:00,437.00
2026-06-18T04:30:00+08:00,438.00
2026-06-18T04:45:00+08:00,439.00
2026-06-18T05:00:00+08:00,440.00
2026-06-18T05:15:00+08:00,441.00
2026-06-18T05:30:00+08:00,442.00
2026-06-18T05:45:00+08:00,443.00
2026-06-18T06:00:00+08:00,444.00
2026-06-18T06:15:00+08:00,445.00
2026-06-18T06:30:00+08:00,446.00
2026-06-18T06:45:00+08:00,447.00
2026-06-18T07:00:00+08:00,448.00
2026-06-18T07:15:00+08:00,449.00
2026-06-18T07:30:00+08:00,450.00
2026-06-18T07:45:00+08:00,451.00
2026-06-18T08:00:00+08:00,452.00
2026-06-18T08:15:00+08:00,453.00
2026-06-18T08:30:00+08:00,454.00
2026-06-18T08:45:00+08:00,455.00
2026-06-18T09:00:00+08:00,456.00
2026-06-18T09:15:00+08:00,457.00
2026-06-18T09:30:00+08:00,458.00
2026-06-18T09:45:00+08:00,459.00
2026-06-18T10:00:00+08:00,460.00
2026-06-18T10:15:00+08:00,461.00
2026-06-18T10:30:00+08:00,462.00
2026-06-18T10:45:00+08:00,463.00
2026-06-18T11:00:00+08:00,464.00
2026-06-18T11:15:00+08:00,465.00
2026-06-18T11:30:00+08:00,466.00
2026-06-18T11:45:00+08:00,467.00
2026-06-18T12:00:00+08:00,468.00
2026-06-18T12:15:00+08:00,469.00
2026-06-18T12:30:00+08:00,470.00
2026-06-18T12:45:00+08:00,471.00
2026-06-18T13:00:00+08:00,472.00
2026-06-18T13:15:00+08:00,473.00
2026-06-18T13:30:00+08:00,474.00
2026-06-18T13:45:00+08:00,475.00
2026-06-18T14:00:00+08:00,476.00
2026-06-18T14:15:00+08:00,477.00
2026-06-18T14:30:00+08:00,478.00
2026-06-18T14:45:00+08:00,479.00
2026-06-18T15:00:00+08:00,480.00
2026-06-18T15:15:00+08:00,481.00
2026-06-18T15:30:00+08:00,482.00
2026-06-18T15:45:00+08:00,483.00
2026-06-18T16:00:00+08:00,484.00
2026-06-18T16:15:00+08:00,485.00
2026-06-18T16:30:00+08:00,486.00
2026-06-18T16:45:00+08:00,487.00
2026-06-18T17:00:00+08:00,488.00
2026-06-18T17:15:00+08:00,489.00
2026-06-18T17:30:00+08:00,490.00
2026-06-18T17:45:00+08:00,491.00
2026-06-18T18:00:00+08:00,492.00
2026-06-18T18:15:00+08:00,493.00
2026-06-18T18:30:00+08:00,494.00
2026-06-18T18:45:00+08:00,495.00
2026-06-18T19:00:00+08:00,496.00
2026-06-18T19:15:00+08:00,497.00
2026-06-18T19:30:00+08:00,498.00
2026-06-18T19:45:00+08:00,499.00
2026-06-18T20:00:00+08:00,500.00
2026-06-18T20:15:00+08:00,501.00
2026-06-18T20:30:00+08:00,502.00
2026-06-18T20:45:00+08:00,503.00
2026-06-18T21:00:00+08:00,504.00
2026-06-18T21:15:00+08:00,505.00
2026-06-18T21:30:00+08:00,506.00
2026-06-18T21:45:00+08:00,507.00
2026-06-18T22:00:00+08:00,508.00
2026-06-18T22:15:00+08:00,509.00
2026-06-18T22:30:00+08:00,510.00
2026-06-18T22:45:00+08:00,511.00
2026-06-18T23:00:00+08:00,512.00
2026-06-18T23:15:00+08:00,513.00
2026-06-18T23:30:00+08:00,514.00
2026-06-18T23:45:00+08:00,515.00
